"SpeciesCategory","cohort","Source","ProcDate","Lengthmm","Weightg","Phenosex","PhenoSex","Maturity","Comments"
"0",1997,"File1",1998-01-06,70,3.5,,,,
"1",1996,"File1",1998-01-06,104,12,,,,
"0",1997,"File1",1998-01-06,69,3.1,,,,
"1",1996,"File1",1998-01-06,100,9.7,,,,
"0",1997,"File1",1998-01-06,64,2.4,,,,
"1",1996,"File1",1998-01-06,100,11,,,,
"0",1996,"File1",1998-01-06,92,8.3,,,,
"1",1996,"File1",1998-01-06,129,24.2,"M",,"Precocious",
"0",1997,"File1",1998-01-06,73,4.5,,,,
"1",1996,"File1",1998-01-06,103,11.2,,,,
"0",1997,"File1",1998-01-06,68,3.6,,,,
"1",1996,"File1",1998-01-06,102,11.7,,,,
"0",1997,"File1",1998-01-06,68,3,,,,
"1",1996,"File1",1998-01-06,100,10.6,,,,
"0",1997,"File1",1998-01-06,75,4.4,,,,
"1",1996,"File1",1998-01-06,100,10.5,,,,
"0",1997,"File1",1998-01-06,80,5.6,,,,
"1",1996,"File1",1998-01-06,100,10.9,,,,
"0",1997,"File1",1998-01-06,63,2.6,,,,
"1",1996,"File1",1998-01-06,101,11.1,,,,
"0",1997,"File1",1998-01-06,75,4.2,,,,
"0",1996,"File1",1998-01-06,92,7.9,,,,
"0",1996,"File1",1998-01-06,96,8.8,,,,
"0",1996,"File1",1998-01-06,96,9.8,,,,
"0",1996,"File1",1998-01-06,96,9.4,,,,
"0",1996,"File1",1998-01-09,93,4.7,,,,
"0",1997,"File1",1998-01-12,75,4.6,,,,
"1",1996,"File1",1998-01-12,132,29.2,"M",,"Precocious",
"1",1996,"File1",1998-01-12,142,37.3,,,,
"1",1996,"File1",1998-01-12,106,12.3,,,,
"0",1996,"File1",1998-01-13,97,9.7,,,,
"1",1996,"File1",1998-01-14,109,13,,,,
"0",1997,"File1",1998-01-15,75,3.6,,,,
"0",1997,"File1",1998-01-16,66,2.8,,,,
"0",1997,"File1",1998-01-16,73,4.2,,,,
"0",1997,"File1",1998-01-19,65,2.7,,,,
"0",1997,"File1",1998-01-20,73,3.9,,,,
"1",1996,"File1",1998-01-20,115,16.5,,,,
"0",1997,"File1",1998-01-20,87,6.9,,,,
"1",1997,"File1",1999-01-05,115,14.9,"M",,"Precocious",
"1",1997,"File1",1999-01-05,121,16.9,"M",,"Precocious",
"1",1997,"File1",1999-01-05,112,15.3,"M",,"Precocious",
"0",1997,"File1",1999-01-05,101.07,9.44,,,,
"0",1997,"File1",1999-01-06,88.82,6.29,"M",,"Precocious",
"0",1997,"File1",1999-01-06,91.21,7.73,,,,
"0",1997,"File1",1999-01-06,89.71,7.23,,,,
"1",1997,"File1",1999-01-08,142,28.8,,,,
"1",1997,"File1",1999-01-08,150,34.6,,,,
"1",1997,"File1",1999-01-11,120,18.9,"M",,"Precocious",
"0",1997,"File1",1999-01-11,97.74,9.15,,,,
"0",1997,"File1",1999-01-11,91.21,8.06,"M",,"Precocious",
"0",1997,"File1",1999-01-11,109.74,11.97,,,,
"0",1997,"File1",1999-01-11,100.81,10.06,,,,
"0",1997,"File1",1999-01-11,91.46,8.02,,,,
"0",1997,"File1",1999-01-13,113.19,12.82,,,,
"1",1997,"File1",1999-01-19,123,17.9,,,,
"0",1997,"File1",1999-01-19,92.98,7.7,,,,
"0",1999,"File1",2000-01-04,76,4.6,,,,
"0",1999,"File1",2000-01-19,58,1.6,,,,
"1",2001,"File2",2003-01-03,108,14.7,"M",,"Precocious",
"1",2001,"File2",2003-01-03,114,17,"M",,"Precocious",
"1",2001,"File2",2003-01-03,97,11.4,"M",,"Precocious",
"1",2001,"File2",2003-01-03,103,13.2,"M",,"Precocious",
"1",2001,"File2",2003-01-03,108,16.1,"M",,"Precocious",
"1",2001,"File2",2003-01-03,99,11.5,"M",,"Precocious",
"1",2001,"File2",2003-01-03,110,15.2,"M",,"Precocious",
"1",2001,"File2",2003-01-03,100,14,"M",,"Precocious",
"1",2001,"File2",2003-01-03,108,15.4,"M",,"Precocious",
"1",2001,"File2",2003-01-06,108,15.5,"M",,"Precocious",
"1",2001,"File2",2003-01-06,90,8.9,"M",,"Precocious",
"1",2001,"File2",2003-01-06,112,16.6,"M",,"Precocious",
"1",2001,"File2",2003-01-06,91,10,"M",,"Precocious",
"1",2001,"File2",2003-01-06,115,17.8,"M",,"Precocious",
"1",2001,"File2",2003-01-06,115,16.2,"M",,"Precocious",
"1",2001,"File2",2003-01-06,100,12.4,"M",,"Precocious",
"1",2001,"File2",2003-01-06,98,12,"M",,"Precocious",
"1",2001,"File2",2003-01-06,102,12.6,"M",,"Precocious",
"1",2001,"File2",2003-01-06,103,14.3,"M",,"Precocious",
"1",2001,"File2",2003-01-06,90,9,"M",,"Precocious",
"1",2001,"File2",2003-01-06,97,11,"M",,"Precocious",
"1",2001,"File2",2003-01-06,94,9.6,"M",,"Precocious",
"1",2001,"File2",2003-01-06,100,12.6,"M",,"Precocious",
"1",2001,"File2",2003-01-06,102,11.4,"M",,"Precocious",
"1",2001,"File2",2003-01-06,113,15,"M",,"Precocious",
"1",2001,"File2",2003-01-06,98,11.3,"M",,"Precocious",
"1",2001,"File2",2003-01-06,92,8.7,"M",,"Precocious",
"1",2001,"File2",2003-01-06,94,11.3,"M",,"Precocious",
"1",2001,"File2",2003-01-15,123,23.8,"M",,"Precocious",
"1",2001,"File2",2003-01-15,113,17,"M",,"Precocious",
"1",2001,"File2",2003-01-15,110,14.6,"M",,"Precocious",
"1",2001,"File2",2003-01-15,102,10.7,,,,
"1",2001,"File2",2003-01-16,122,19.2,"M",,"Precocious",
"1",2001,"File2",2003-01-16,124,17.2,"M",,"Precocious",
"1",2001,"File2",2003-01-16,93,9.9,"M",,"Precocious",
"0",2003,"File2",2004-01-02,75,3.9,,,,
"0",2003,"File2",2004-01-02,70,3.5,,,,
"0",2003,"File2",2004-01-02,72,3.7,,,,
"0",2003,"File2",2004-01-02,77,3.8,,,,
"0",2003,"File2",2004-01-02,72,3.8,,,,
"0",2003,"File2",2004-01-02,64,2.6,,,,
"0",2003,"File2",2004-01-05,72,3.9,,,,
"0",2003,"File2",2004-01-05,65,3,,,,
"0",2003,"File2",2004-01-05,74,4.3,,,,
"0",2003,"File2",2004-01-06,65,3.3,,,,
"0",2003,"File2",2004-01-07,72,3.7,,,,
"0",2003,"File2",2004-01-08,65,2.9,,,,
"0",2003,"File2",2004-01-08,78,5,,,,
"0",2003,"File2",2004-01-08,66,3,,,,
"0",2003,"File2",2004-01-09,72,4,,,,
"0",2003,"File2",2004-01-12,75,4.2,,,,
"0",2003,"File2",2004-01-12,67,3.9,,,,
"0",2003,"File2",2004-01-13,70,3.4,,,,
"0",2003,"File2",2004-01-13,65,2.9,,,,
"0",2003,"File2",2004-01-15,62,2.5,,,,
"0",2003,"File2",2004-01-15,63,2.4,,,,
"0",2003,"File2",2004-01-16,63,2.6,,,,
"0",2003,"File2",2004-01-19,62,2.5,,,,
"0",2003,"File2",2004-01-19,79,5.5,,,,
"0",2003,"File2",2004-01-19,77,4.8,,,,
"0",2003,"File2",2004-01-19,67,3.2,,,,
