cohort,date,age,dayofyear,lengthmm,river,age_class
1997,1997-11-23,337,327,68.0,Roug,0
1997,1997-11-23,337,327,70.0,Roug,0
1997,1997-11-25,339,329,68.0,Roug,0
1997,1997-12-08,352,342,71.0,Roug,0
1997,1997-12-08,352,342,60.0,Roug,0
1997,1997-12-09,353,343,72.0,Roug,0
1997,1997-12-10,354,344,72.0,Roug,0
1997,1997-12-12,356,346,73.0,Roug,0
1997,1997-12-16,360,350,58.0,Roug,0
1997,1997-12-30,374,364,67.0,Roug,0
1997,1998-01-06,381,6,70.0,Roug,1
1997,1998-01-06,381,6,69.0,Roug,1
1997,1998-01-06,381,6,64.0,Roug,1
1997,1998-01-06,381,6,73.0,Roug,1
1997,1998-01-06,381,6,68.0,Roug,1
1997,1998-01-06,381,6,68.0,Roug,1
1997,1998-01-06,381,6,75.0,Roug,1
1997,1998-01-06,381,6,80.0,Roug,1
1997,1998-01-06,381,6,63.0,Roug,1
1997,1998-01-06,381,6,75.0,Roug,1
1997,1998-01-12,387,12,75.0,Roug,1
1997,1998-01-15,390,15,75.0,Roug,1
1997,1998-01-16,391,16,66.0,Roug,1
1997,1998-01-16,391,16,73.0,Roug,1
1997,1998-01-19,394,19,65.0,Roug,1
1997,1998-01-20,395,20,73.0,Roug,1
1997,1998-01-30,405,30,77.0,Roug,1
1997,1998-01-30,405,30,75.0,Roug,1
1997,1998-02-02,408,33,77.0,Roug,1
1997,1998-02-09,415,40,67.0,Roug,1
1997,1998-03-02,436,61,71.0,Roug,1
1997,1998-03-02,436,61,75.0,Roug,1
1997,1998-03-02,436,61,62.0,Roug,1
1997,1998-03-09,443,68,65.0,Roug,1
1997,1998-03-23,457,82,59.0,Roug,1
1997,1998-03-25,459,84,79.0,Roug,1
1997,1998-03-27,461,86,79.0,Roug,1
1997,1998-03-29,463,88,80.0,Roug,1
1997,1998-04-06,471,96,90.0,Roug,1
1997,1998-04-20,485,110,90.0,Roug,1
1997,1998-05-07,502,127,86.0,Roug,1
1997,1998-05-08,503,128,89.0,Roug,1
1997,1998-05-11,506,131,93.0,Roug,1
1997,1998-05-11,506,131,96.0,Roug,1
1997,1998-06-11,537,162,115.0,Roug,1
1997,1998-08-10,597,222,132.0,Roug,1
1997,1998-08-10,597,222,131.0,Roug,1
1997,1998-08-10,597,222,127.0,Roug,1
1997,1998-08-10,597,222,129.0,Roug,1
1997,1998-08-10,597,222,117.0,Roug,1
1997,1998-08-10,597,222,124.0,Roug,1
1997,1998-08-10,597,222,127.0,Roug,1
1997,1998-08-10,597,222,114.0,Roug,1
1997,1998-08-10,597,222,129.0,Roug,1
1997,1998-08-17,604,229,127.0,Roug,1
1997,1998-08-17,604,229,132.0,Roug,1
1997,1998-08-17,604,229,114.0,Roug,1
1997,1998-08-17,604,229,119.0,Roug,1
1997,1998-08-17,604,229,117.0,Roug,1
1997,1998-08-18,605,230,122.0,Roug,1
1997,1998-08-20,607,232,121.0,Roug,1
1997,1998-08-25,612,237,117.0,Roug,1
1997,1998-08-25,612,237,123.0,Roug,1
1997,1998-08-27,614,239,127.0,Roug,1
1997,1998-09-01,619,244,125.0,Roug,1
1997,1998-09-02,620,245,126.0,Roug,1
1997,1998-09-02,620,245,115.0,Roug,1
1997,1998-09-10,628,253,129.0,Roug,1
1997,1998-09-10,628,253,121.0,Roug,1
1997,1998-09-11,629,254,121.0,Roug,1
1997,1998-09-11,629,254,123.0,Roug,1
1997,1998-09-11,629,254,111.0,Roug,1
1997,1998-09-11,629,254,123.0,Roug,1
1997,1998-10-19,667,292,124.0,Roug,1
1997,1998-10-19,667,292,132.0,Roug,1
1997,1998-10-19,667,292,126.0,Roug,1
1997,1998-10-19,667,292,117.0,Roug,1
1997,1998-10-19,667,292,96.65,Roug,1
1997,1998-10-22,670,295,125.0,Roug,1
1997,1998-10-22,670,295,87.8,Roug,1
1997,1998-10-22,670,295,87.86,Roug,1
1997,1998-10-22,670,295,87.69,Roug,1
1997,1998-10-22,670,295,89.01,Roug,1
1997,1998-10-27,675,300,91.22,Roug,1
1997,1998-10-30,678,303,94.83,Roug,1
1997,1998-10-30,678,303,122.0,Roug,1
1997,1998-10-30,678,303,93.85,Roug,1
1997,1998-10-30,678,303,124.0,Roug,1
1997,1998-10-30,678,303,92.83,Roug,1
1997,1998-10-30,678,303,91.64,Roug,1
1997,1998-10-30,678,303,89.17,Roug,1
1997,1998-10-30,678,303,91.49,Roug,1
1997,1998-11-04,683,308,90.72,Roug,1
1997,1998-11-04,683,308,108.0,Roug,1
1997,1998-11-05,684,309,89.9,Roug,1
1997,1998-11-23,702,327,132.0,Roug,1
1997,1998-11-23,702,327,117.0,Roug,1
1997,1998-11-25,704,329,89.55,Roug,1
1997,1998-11-25,704,329,115.0,Roug,1
1997,1998-11-26,705,330,88.77,Roug,1
1997,1998-11-27,706,331,141.0,Roug,1
1997,1998-11-30,709,334,131.0,Roug,1
1997,1998-11-30,709,334,128.0,Roug,1
1997,1998-11-30,709,334,119.0,Roug,1
1997,1998-11-30,709,334,92.04,Roug,1
1997,1998-11-30,709,334,135.0,Roug,1
1997,1998-11-30,709,334,103.94,Roug,1
1997,1998-11-30,709,334,121.0,Roug,1
1997,1998-11-30,709,334,136.0,Roug,1
1997,1998-11-30,709,334,91.99,Roug,1
1997,1998-11-30,709,334,123.0,Roug,1
1997,1998-11-30,709,334,134.0,Roug,1
1997,1998-11-30,709,334,133.0,Roug,1
1997,1998-12-01,710,335,144.0,Roug,1
1997,1998-12-01,710,335,137.0,Roug,1
1997,1998-12-02,711,336,99.0,Roug,1
1997,1998-12-02,711,336,123.0,Roug,1
1997,1998-12-03,712,337,136.0,Roug,1
1997,1998-12-04,713,338,92.78,Roug,1
1997,1998-12-07,716,341,103.97,Roug,1
1997,1998-12-07,716,341,88.22,Roug,1
1997,1998-12-07,716,341,96.28,Roug,1
1997,1998-12-07,716,341,90.21,Roug,1
1997,1998-12-07,716,341,90.49,Roug,1
1997,1998-12-07,716,341,108.64,Roug,1
1997,1998-12-09,718,343,136.0,Roug,1
1997,1998-12-09,718,343,125.0,Roug,1
1997,1998-12-09,718,343,111.0,Roug,1
1997,1998-12-09,718,343,110.0,Roug,1
1997,1998-12-09,718,343,110.0,Roug,1
1997,1998-12-10,719,344,103.96,Roug,1
1997,1998-12-11,720,345,127.0,Roug,1
1997,1998-12-14,723,348,128.0,Roug,1
1997,1998-12-14,723,348,132.0,Roug,1
1997,1998-12-14,723,348,134.0,Roug,1
1997,1998-12-14,723,348,125.0,Roug,1
1997,1998-12-14,723,348,134.0,Roug,1
1997,1998-12-14,723,348,130.0,Roug,1
1997,1998-12-14,723,348,123.0,Roug,1
1997,1998-12-14,723,348,143.0,Roug,1
1997,1998-12-15,724,349,94.88,Roug,1
1997,1998-12-15,724,349,116.0,Roug,1
1997,1998-12-15,724,349,132.0,Roug,1
1997,1998-12-15,724,349,131.0,Roug,1
1997,1998-12-15,724,349,147.0,Roug,1
1997,1998-12-15,724,349,122.0,Roug,1
1997,1998-12-15,724,349,122.0,Roug,1
1997,1998-12-15,724,349,117.0,Roug,1
1997,1998-12-15,724,349,125.0,Roug,1
1997,1998-12-16,725,350,89.27,Roug,1
1997,1998-12-16,725,350,132.0,Roug,1
1997,1998-12-16,725,350,124.0,Roug,1
1997,1998-12-16,725,350,132.0,Roug,1
1997,1998-12-16,725,350,123.0,Roug,1
1997,1998-12-16,725,350,120.0,Roug,1
1997,1998-12-16,725,350,119.0,Roug,1
1997,1998-12-16,725,350,127.0,Roug,1
1997,1998-12-17,726,351,114.0,Roug,1
1997,1998-12-17,726,351,123.0,Roug,1
1997,1998-12-17,726,351,121.0,Roug,1
1997,1998-12-17,726,351,138.0,Roug,1
1997,1998-12-17,726,351,138.0,Roug,1
1997,1998-12-18,727,352,129.0,Roug,1
1997,1998-12-18,727,352,115.0,Roug,1
1997,1998-12-18,727,352,112.0,Roug,1
1997,1998-12-21,730,355,133.0,Roug,1
1997,1998-12-21,730,355,130.0,Roug,1
1997,1998-12-21,730,355,88.37,Roug,1
1997,1998-12-21,730,355,114.0,Roug,1
1997,1998-12-21,730,355,113.0,Roug,1
1997,1998-12-21,730,355,103.67,Roug,1
1997,1998-12-21,730,355,134.0,Roug,1
1997,1998-12-21,730,355,132.0,Roug,1
1997,1998-12-21,730,355,128.0,Roug,1
1997,1998-12-21,730,355,117.0,Roug,1
1997,1998-12-21,730,355,115.0,Roug,1
1997,1998-12-21,730,355,116.0,Roug,1
1997,1998-12-21,730,355,118.0,Roug,1
